model,MAE,MAPE,RMSE
naive,2.6499132046424667,1.1986503637203074,3.9115124251294384
ma_30,9.11603679099278,4.086460884210761,11.277068700315859
arima_5_1_0,44.03960756031169,18.76591671032934,49.321887287529684
